document_index,summarizer,normalizer,rouge_1,rouge_2,rouge_l,time_elapsed
1882,freq,raw,0.8974358974358975,0.8717948717948718,0.321285140562249,0.0
307,freq,raw,0.868421052631579,0.8375,0.6131386861313869,0.0
331,freq,raw,0.8488372093023255,0.8235294117647058,0.3901345291479821,0.0005035400390625
84,freq,raw,0.5952380952380952,0.5542168674698795,0.9239130434782609,0.0
408,freq,raw,0.828125,0.7910447761194029,0.2723735408560311,0.0
111,freq,raw,0.8307692307692308,0.796875,0.616822429906542,0.0
443,freq,raw,0.8305084745762712,0.8,0.5508474576271186,0.0
377,freq,raw,0.4027777777777778,0.3698630136986301,0.8823529411764706,0.0
1957,freq,raw,0.8673469387755102,0.845360824742268,0.4074074074074074,0.0
1423,freq,raw,0.8571428571428571,0.8108108108108109,0.3791469194312796,0.0
418,freq,raw,0.8536585365853658,0.8313253012048193,0.8854166666666666,0.0
1819,freq,raw,0.582089552238806,0.5522388059701493,0.69,0.0
1458,freq,raw,0.8571428571428571,0.8311688311688312,0.41968911917098445,0.0
747,freq,raw,0.5344827586206896,0.5333333333333333,0.6078431372549019,0.0
616,freq,raw,0.5,0.46511627906976744,0.75,0.0
564,freq,raw,0.5833333333333334,0.5647058823529412,0.6444444444444445,0.0
1021,freq,raw,0.8115942028985508,0.7794117647058824,0.37037037037037035,0.0
2192,freq,raw,0.8513513513513513,0.8133333333333334,0.48125,0.0
1496,freq,raw,0.6979166666666666,0.6701030927835051,0.9611650485436893,0.0
925,freq,raw,0.7171717171717171,0.7,0.6023391812865497,0.0
833,freq,raw,0.5853658536585366,0.5679012345679012,0.9120879120879121,0.0
1680,freq,raw,0.9130434782608695,0.8901098901098901,0.2980769230769231,0.0
803,freq,raw,0.8777777777777778,0.8478260869565217,0.5080213903743316,0.0009996891021728516
287,freq,raw,0.5230769230769231,0.5,0.5892857142857143,0.0
1382,freq,raw,0.87,0.85,0.3541666666666667,0.0
1362,freq,raw,0.8309859154929577,0.8028169014084507,0.6186440677966102,0.0
485,freq,raw,0.8414634146341463,0.8170731707317073,0.5562913907284768,0.0
1596,freq,raw,0.8333333333333334,0.8055555555555556,0.42045454545454547,0.0
